country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Panama,5040000,5020000,5010000,4990000,4970000,4950000,4940000,4920000,4900000,4880000,4870000,4850000,4830000,4820000,4800000,4780000,4770000,4750000,4730000,4720000,4700000,4680000,4670000,4650000,4630000,4620000
Papua New Guinea,33600000,33600000,33600000,33600000,33600000,33600000,33600000,33600000,33600000,33600000,33600000,33600000,33600000,33600000,33600000,33600000,33600000,33600000,33600000,33600000,33600000,33600000,33600000,33600000,33600000,33600000
Paraguay,21200000,21000000,20800000,20600000,20400000,20300000,20100000,19900000,19700000,19500000,19400000,19200000,19000000,18800000,18700000,18500000,18200000,17900000,17600000,17300000,17000000,16600000,16300000,16000000,15600000,15300000
Peru,77900000,77700000,77600000,77400000,77200000,77000000,76900000,76700000,76500000,76300000,76100000,76000000,75900000,75800000,75700000,75500000,75400000,75200000,75100000,75000000,74800000,74600000,74500000,74300000,74100000,74000000
Philippines,6560000,6600000,6650000,6700000,6740000,6790000,6840000,6890000,6930000,6980000,7030000,7040000,7050000,7060000,7060000,7070000,7030000,6980000,6930000,6890000,6840000,7080000,7320000,7560000,7800000,8040000
Poland,8880000,8900000,8920000,8930000,8950000,8970000,8990000,9010000,9020000,9040000,9060000,9090000,9120000,9140000,9170000,9200000,9230000,9250000,9280000,9300000,9330000,9350000,9370000,9390000,9410000,9440000
Portugal,3440000,3430000,3420000,3410000,3400000,3390000,3380000,3370000,3360000,3350000,3340000,3330000,3320000,3310000,3310000,3300000,3280000,3270000,3260000,3250000,3240000,3230000,3220000,3200000,3190000,3180000
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,6370000,6370000,6370000,6370000,6370000,6370000,6370000,6370000,6370000,6370000,6370000,6370000,6380000,6380000,6390000,6390000,6420000,6440000,6470000,6490000,6520000,6580000,6650000,6720000,6790000,6860000
Russia,,,809000000,809000000,809000000,809000000,809000000,809000000,809000000,809000000,809000000,809000000,809000000,809000000,809000000,809000000,810000000,811000000,813000000,814000000,815000000,815000000,815000000,815000000,815000000,815000000
Rwanda,318000,321000,323000,326000,328000,331000,334000,336000,339000,341000,344000,352000,360000,369000,377000,385000,397000,409000,422000,434000,446000,453000,460000,466000,473000,480000
Samoa,130000,134000,138000,142000,146000,151000,155000,159000,163000,167000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000,171000
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,55500,55000,54600,54100,53600,53600,53600,53600,53600,53600
Saudi Arabia,977000,977000,977000,977000,977000,977000,977000,977000,977000,977000,977000,977000,977000,977000,977000,977000,977000,977000,977000,977000,977000,977000,977000,977000,977000,977000
Senegal,9350000,9300000,9260000,9210000,9170000,9120000,9080000,9030000,8990000,8940000,8900000,8850000,8810000,8760000,8720000,8670000,8630000,8590000,8550000,8510000,8470000,8430000,8390000,8350000,8310000,8270000
Serbia,,,,,,,,,,,,,,,,,2520000,2570000,2620000,2670000,2710000,2710000,2720000,2720000,2720000,2720000
Seychelles,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700
Sierra Leone,3120000,3100000,3080000,3060000,3040000,3020000,3000000,2980000,2960000,2940000,2920000,2900000,2880000,2860000,2840000,2820000,2800000,2780000,2770000,2750000,2730000,2790000,2850000,2920000,2980000,3040000
Singapore,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400
Slovak Republic,,,,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1920000,1930000,1930000,1930000,1930000,1930000,1930000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000
Slovenia,,,1200000,1200000,1210000,1210000,1220000,1220000,1220000,1230000,1230000,1240000,1240000,1240000,1240000,1240000,1240000,1240000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000
Solomon Islands,2320000,2320000,2310000,2310000,2300000,2300000,2290000,2280000,2280000,2270000,2270000,2260000,2260000,2250000,2250000,2240000,2240000,2230000,2220000,2220000,2210000,2210000,2200000,2200000,2190000,2190000
Somalia,8280000,8210000,8130000,8050000,7980000,7900000,7820000,7750000,7670000,7590000,7520000,7440000,7360000,7280000,7210000,7130000,7050000,6980000,6900000,6820000,6750000,6670000,6590000,6520000,6440000,6360000
South Africa,9240000,9240000,9240000,9240000,9240000,9240000,9240000,9240000,9240000,9240000,9240000,9240000,9240000,9240000,9240000,9240000,9240000,9240000,9240000,9240000,9240000,9240000,9240000,9240000,9240000,9240000
South Korea,6370000,6360000,6350000,6350000,6340000,6330000,6320000,6310000,6300000,6300000,6290000,6280000,6270000,6270000,6260000,6260000,6250000,6240000,6240000,6230000,6220000,6210000,6210000,6200000,6190000,6180000
Spain,13800000,14100000,14400000,14800000,15100000,15400000,15700000,16000000,16300000,16700000,17000000,17000000,17100000,17200000,17200000,17300000,17500000,17700000,17900000,18100000,18200000,18300000,18300000,18300000,18400000,18400000
Sri Lanka,2280000,2270000,2270000,2260000,2250000,2240000,2230000,2220000,2210000,2200000,2190000,2180000,2160000,2150000,2130000,2120000,2120000,2110000,2110000,2110000,2100000,2100000,2090000,2080000,2080000,2070000
St. Kitts and Nevis,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
St. Lucia,21800,21700,21700,21600,21600,21500,21400,21400,21300,21300,21200,21100,21100,21000,21000,20900,20800,20800,20700,20700,20600,20500,20500,20400,20400,20300
St. Vincent and the Grenadines,25000,25100,25200,25300,25400,25500,25600,25700,25800,25900,26000,26000,26000,26000,26000,26000,26200,26400,26600,26800,27000,27000,27000,27000,27000,27000
Sudan,30700000,30600000,30400000,30200000,30000000,29900000,29700000,29500000,29300000,29200000,29000000,28800000,28600000,28500000,28300000,28100000,27900000,27800000,27600000,27400000,27200000,27100000,26900000,26700000,26500000,26400000
Suriname,15400000,15400000,15400000,15400000,15400000,15400000,15400000,15400000,15400000,15400000,15400000,15400000,15400000,15400000,15400000,15400000,15400000,15400000,15400000,15400000,15400000,15300000,15300000,15300000,15300000,15300000
Sweden,28100000,28100000,28100000,28100000,28100000,28100000,28100000,28100000,28100000,28200000,28200000,28200000,28200000,28200000,28200000,28200000,28200000,28200000,28100000,28100000,28100000,28100000,28100000,28100000,28100000,28100000
Switzerland,1150000,1160000,1160000,1160000,1170000,1170000,1180000,1180000,1190000,1190000,1190000,1200000,1200000,1210000,1210000,1220000,1220000,1220000,1230000,1230000,1240000,1240000,1240000,1250000,1250000,1250000
Syria,372000,378000,384000,390000,396000,402000,408000,414000,420000,426000,432000,438000,444000,449000,455000,461000,467000,473000,479000,485000,491000,491000,491000,491000,491000,491000
Tajikistan,,,408000,409000,409000,409000,409000,409000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,410000,411000,411000,412000,412000
Tanzania,55900000,55500000,55100000,54700000,54300000,53900000,53500000,53100000,52700000,52300000,51900000,51500000,51100000,50700000,50300000,49900000,49500000,49100000,48700000,48300000,47900000,47500000,47200000,46800000,46400000,46100000
Thailand,14000000,14300000,14600000,14900000,15200000,15500000,15800000,16100000,16400000,16700000,17000000,16800000,16600000,16500000,16300000,16100000,16100000,16200000,16200000,16200000,16200000,16300000,16300000,16300000,16400000,16400000
Timor-Leste,966000,955000,944000,932000,921000,910000,899000,888000,876000,865000,854000,843000,832000,820000,809000,798000,787000,776000,764000,753000,742000,731000,720000,708000,697000,686000
Togo,685000,665000,645000,625000,605000,586000,566000,546000,526000,506000,486000,466000,446000,426000,406000,386000,366000,346000,327000,307000,287000,267000,247000,228000,208000,188000
Tonga,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000
Trinidad and Tobago,241000,240000,239000,239000,238000,237000,236000,236000,235000,234000,234000,233000,232000,231000,231000,230000,229000,229000,228000,227000,226000,228000,230000,231000,233000,234000
Tunisia,643000,662000,682000,701000,721000,740000,759000,779000,798000,818000,837000,853000,868000,884000,899000,915000,930000,945000,960000,975000,990000,1000000,1010000,1020000,1030000,1040000
Turkey,9620000,9680000,9730000,9790000,9850000,9900000,9960000,10000000,10100000,10100000,10200000,10300000,10400000,10500000,10600000,10700000,10800000,10900000,11000000,11100000,11200000,11300000,11400000,11500000,11600000,11700000
Turkmenistan,,,4130000,4130000,4130000,4130000,4130000,4130000,4130000,4130000,4130000,4130000,4130000,4130000,4130000,4130000,4130000,4130000,4130000,4130000,4130000,4130000,4130000,4130000,4130000,4130000
Tuvalu,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Uganda,4750000,4660000,4570000,4490000,4400000,4310000,4220000,4130000,4050000,3960000,3870000,3780000,3690000,3610000,3520000,3430000,3290000,3160000,3020000,2890000,2750000,2620000,2480000,2350000,2210000,2080000
Ukraine,,,9320000,9340000,9370000,9390000,9420000,9440000,9460000,9490000,9510000,9520000,9540000,9550000,9560000,9580000,9570000,9560000,9560000,9550000,9550000,9570000,9590000,9610000,9640000,9660000
United Arab Emirates,245000,252000,258000,265000,271000,278000,284000,291000,297000,304000,310000,310000,311000,311000,312000,312000,313000,314000,315000,316000,317000,318000,319000,320000,322000,323000
United Kingdom,2780000,2800000,2810000,2830000,2850000,2870000,2880000,2900000,2920000,2940000,2950000,2970000,2980000,2990000,3010000,3020000,3030000,3040000,3040000,3050000,3060000,3080000,3090000,3110000,3130000,3140000
United States,302000000,303000000,303000000,303000000,303000000,303000000,303000000,303000000,303000000,303000000,304000000,304000000,304000000,304000000,305000000,305000000,306000000,306000000,307000000,308000000,309000000,309000000,309000000,310000000,310000000,310000000
Uruguay,798000,855000,912000,969000,1030000,1080000,1140000,1200000,1260000,1310000,1370000,1400000,1430000,1460000,1490000,1520000,1560000,1610000,1650000,1690000,1730000,1750000,1780000,1800000,1820000,1850000
Uzbekistan,,,3080000,3100000,3110000,3130000,3150000,3160000,3180000,3200000,3210000,3230000,3250000,3260000,3280000,3300000,3290000,3290000,3280000,3280000,3280000,3260000,3250000,3240000,3230000,3220000
Vanuatu,440000,440000,440000,440000,440000,440000,440000,440000,440000,440000,440000,440000,440000,440000,440000,440000,440000,440000,440000,440000,440000,440000,440000,440000,440000,440000
Venezuela,52000000,51700000,51500000,51200000,50900000,50600000,50300000,50000000,49700000,49400000,49200000,48900000,48600000,48300000,48000000,47700000,47700000,47600000,47600000,47500000,47500000,47300000,47200000,47000000,46800000,46700000
Vietnam,9360000,9600000,9840000,10100000,10300000,10500000,10800000,11000000,11300000,11500000,11700000,12000000,12300000,12500000,12800000,13100000,13300000,13500000,13700000,13900000,14100000,14300000,14400000,14500000,14600000,14800000
Yemen,549000,549000,549000,549000,549000,549000,549000,549000,549000,549000,549000,549000,549000,549000,549000,549000,549000,549000,549000,549000,549000,549000,549000,549000,549000,549000
Zambia,52800000,52600000,52500000,52300000,52100000,52000000,51800000,51600000,51500000,51300000,51100000,51000000,50800000,50600000,50500000,50300000,50100000,50000000,49800000,49600000,49500000,49300000,49100000,49000000,48800000,48600000
Zimbabwe,22200000,21800000,21500000,21200000,20900000,20500000,20200000,19900000,19500000,19200000,18900000,18600000,18200000,17900000,17600000,17300000,16900000,16600000,16300000,16000000,15600000,15300000,15000000,14700000,14400000,14100000
